min_support,partition,elapsed
0.05,31,1.764115810394287
0.048,31,1.7469239234924316
0.046,31,1.752411127090454
0.044,31,1.746448040008545
0.042,31,1.7827959060668945
0.04,31,1.8048887252807617
0.038,31,1.811079740524292
0.036,31,1.7836601734161377
0.034,31,1.8084721565246582
0.032,31,1.8129947185516357
0.03,31,1.8597948551177979
0.028,31,1.9125208854675293
0.026,31,1.904994010925293
0.024,31,1.8340661525726318
0.022,31,1.838921070098877
0.02,31,1.8578529357910156
0.018,31,1.8511979579925537
0.016,31,1.8539326190948486
0.014,31,1.8674228191375732
0.012,31,1.9377861022949219
0.01,31,1.9142279624938965
0.008,31,2.0150299072265625
0.006,31,2.10900616645813
0.004,31,2.44181489944458
