min_support,partition,elapsed
0.05,2,1.8782877922058105
0.048,2,1.7540509700775146
0.046,2,1.8123903274536133
0.044,2,1.7739589214324951
0.042,2,1.7758746147155762
0.04,2,1.7547760009765625
0.038,2,1.8308048248291016
0.036,2,1.8376870155334473
0.034,2,1.8600990772247314
0.032,2,1.8415400981903076
0.03,2,1.938537836074829
0.028,2,1.9283430576324463
0.026,2,2.0009078979492188
0.024,2,2.030933141708374
0.022,2,1.9996647834777832
0.02,2,1.952131986618042
0.018,2,1.9949419498443604
0.016,2,1.9920589923858643
0.014,2,2.040192127227783
0.012,2,2.0358288288116455
0.01,2,2.0059142112731934
0.008,2,2.165677785873413
0.006,2,2.324381113052368
0.004,2,2.7579267024993896
