min_support,partition,elapsed
0.05,26,1.7444579601287842
0.048,26,1.7112751007080078
0.046,26,1.6562371253967285
0.044,26,1.6653170585632324
0.042,26,1.7071020603179932
0.04,26,1.7094829082489014
0.038,26,1.709407091140747
0.036,26,1.7486610412597656
0.034,26,1.667297124862671
0.032,26,1.6998226642608643
0.03,26,1.7263758182525635
0.028,26,1.7469139099121094
0.026,26,1.7690019607543945
0.024,26,1.7610230445861816
0.022,26,1.811039924621582
0.02,26,1.8082311153411865
0.018,26,1.8197062015533447
0.016,26,1.8201608657836914
0.014,26,1.8265810012817383
0.012,26,1.8138468265533447
0.01,26,1.8695111274719238
0.008,26,1.9416899681091309
0.006,26,2.0331919193267822
0.004,26,2.38787579536438
