min_support,partition,elapsed
0.05,26,0.34249305725097656
0.048,26,0.3337552547454834
0.046,26,0.41273999214172363
0.044,26,0.35384702682495117
0.042,26,0.3519611358642578
0.04,26,0.3732020854949951
0.038,26,0.35228490829467773
0.036,26,0.38898491859436035
0.034,26,0.3288230895996094
0.032,26,0.3414762020111084
0.03,26,0.35985684394836426
0.028,26,0.3316841125488281
0.026,26,0.335935115814209
0.024,26,0.36698389053344727
0.022,26,0.34246397018432617
0.02,26,0.3464362621307373
0.018,26,0.35164523124694824
0.016,26,0.352280855178833
0.014,26,0.37584996223449707
0.012,26,0.34458422660827637
0.01,26,0.3267951011657715
0.008,26,0.36685872077941895
0.006,26,0.3361508846282959
0.004,26,0.3391232490539551
