min_support,partition,elapsed
0.05,8,1.385929822921753
0.048,8,1.3790979385375977
0.046,8,1.351271152496338
0.044,8,1.399874210357666
0.042,8,1.3817551136016846
0.04,8,1.3790030479431152
0.038,8,1.3746631145477295
0.036,8,1.4233479499816895
0.034,8,1.4190621376037598
0.032,8,1.4525740146636963
0.03,8,1.4486238956451416
0.028,8,1.4944789409637451
0.026,8,1.4417407512664795
0.024,8,1.4444379806518555
0.022,8,1.4246361255645752
0.02,8,1.4755010604858398
0.018,8,1.4514491558074951
0.016,8,1.4802169799804688
0.014,8,1.4054501056671143
0.012,8,1.5121006965637207
0.01,8,1.5421152114868164
0.008,8,1.5946390628814697
0.006,8,1.7060909271240234
0.004,8,1.928480863571167
