min_support,partition,elapsed
0.05,3,0.2074589729309082
0.048,3,0.1810779571533203
0.046,3,0.17880034446716309
0.044,3,0.17418313026428223
0.042,3,0.20951604843139648
0.04,3,0.19569015502929688
0.038,3,0.190748929977417
0.036,3,0.1945209503173828
0.034,3,0.18748092651367188
0.032,3,0.19006800651550293
0.03,3,0.18187499046325684
0.028,3,0.2359168529510498
0.026,3,0.1751692295074463
0.024,3,0.18268990516662598
0.022,3,0.18733000755310059
0.02,3,0.1815938949584961
0.018,3,0.18418502807617188
0.016,3,0.18797898292541504
0.014,3,0.1904308795928955
0.012,3,0.19323396682739258
0.01,3,0.18601608276367188
0.008,3,0.18822693824768066
0.006,3,0.17264986038208008
0.004,3,0.17840194702148438
