min_support,partition,elapsed
0.05,23,1.5762979984283447
0.048,23,1.5508639812469482
0.046,23,1.5323708057403564
0.044,23,1.4509937763214111
0.042,23,1.558189868927002
0.04,23,1.5038487911224365
0.038,23,1.5624570846557617
0.036,23,1.6061999797821045
0.034,23,1.6213159561157227
0.032,23,1.6890711784362793
0.03,23,1.684239149093628
0.028,23,1.7533597946166992
0.026,23,1.6682157516479492
0.024,23,1.7367758750915527
0.022,23,1.6067650318145752
0.02,23,1.6406548023223877
0.018,23,1.6678190231323242
0.016,23,1.709557056427002
0.014,23,1.6857879161834717
0.012,23,1.7082290649414062
0.01,23,1.7520267963409424
0.008,23,1.8704919815063477
0.006,23,2.005258083343506
0.004,23,2.398300886154175
