min_support,partition,elapsed
0.05,23,0.357166051864624
0.048,23,0.3208489418029785
0.046,23,0.3199450969696045
0.044,23,0.39920830726623535
0.042,23,0.3109900951385498
0.04,23,0.33692216873168945
0.038,23,0.33197498321533203
0.036,23,0.3247041702270508
0.034,23,0.33247995376586914
0.032,23,0.31889986991882324
0.03,23,0.32568812370300293
0.028,23,0.30411815643310547
0.026,23,0.3181898593902588
0.024,23,0.3241751194000244
0.022,23,0.3143482208251953
0.02,23,0.3431107997894287
0.018,23,0.3052802085876465
0.016,23,0.31513190269470215
0.014,23,0.3369910717010498
0.012,23,0.3290519714355469
0.01,23,0.3499877452850342
0.008,23,0.31938624382019043
0.006,23,0.3270881175994873
0.004,23,0.3297579288482666
