min_support,partition,elapsed
0.05,12,1.362879991531372
0.048,12,1.3864789009094238
0.046,12,1.42765212059021
0.044,12,1.3779621124267578
0.042,12,1.4382319450378418
0.04,12,1.3799958229064941
0.038,12,1.38071608543396
0.036,12,1.395864725112915
0.034,12,1.4728350639343262
0.032,12,1.4947960376739502
0.03,12,1.532329797744751
0.028,12,1.5473730564117432
0.026,12,1.5070462226867676
0.024,12,1.4943718910217285
0.022,12,1.5064749717712402
0.02,12,1.5279591083526611
0.018,12,1.5130109786987305
0.016,12,1.5445499420166016
0.014,12,1.5101118087768555
0.012,12,1.5549488067626953
0.01,12,1.581939935684204
0.008,12,1.6628310680389404
0.006,12,1.7708699703216553
0.004,12,2.105523109436035
