min_support,partition,elapsed
0.05,12,0.24139189720153809
0.048,12,0.2673838138580322
0.046,12,0.22822880744934082
0.044,12,0.25599002838134766
0.042,12,0.23294615745544434
0.04,12,0.26256799697875977
0.038,12,0.2442638874053955
0.036,12,0.22554707527160645
0.034,12,0.23471784591674805
0.032,12,0.2702758312225342
0.03,12,0.22785520553588867
0.028,12,0.24645185470581055
0.026,12,0.2514040470123291
0.024,12,0.23658490180969238
0.022,12,0.2540137767791748
0.02,12,0.24118995666503906
0.018,12,0.23556804656982422
0.016,12,0.23270606994628906
0.014,12,0.2870900630950928
0.012,12,0.23151707649230957
0.01,12,0.2396078109741211
0.008,12,0.232025146484375
0.006,12,0.2488861083984375
0.004,12,0.22268104553222656
