min_support,partition,elapsed
0.05,16,0.26181983947753906
0.048,16,0.28792309761047363
0.046,16,0.2569451332092285
0.044,16,0.31523895263671875
0.042,16,0.29117584228515625
0.04,16,0.27284669876098633
0.038,16,0.2749168872833252
0.036,16,0.2745518684387207
0.034,16,0.28122401237487793
0.032,16,0.2723720073699951
0.03,16,0.27680206298828125
0.028,16,0.26560521125793457
0.026,16,0.29131507873535156
0.024,16,0.25326013565063477
0.022,16,0.2609870433807373
0.02,16,0.26604485511779785
0.018,16,0.29433298110961914
0.016,16,0.26108407974243164
0.014,16,0.27503299713134766
0.012,16,0.27240610122680664
0.01,16,0.305286169052124
0.008,16,0.2575531005859375
0.006,16,0.2618288993835449
0.004,16,0.2687852382659912
