min_support,partition,elapsed
0.05,20,0.303922176361084
0.048,20,0.29742884635925293
0.046,20,0.3164808750152588
0.044,20,0.3581099510192871
0.042,20,0.29286980628967285
0.04,20,0.3147730827331543
0.038,20,0.30283093452453613
0.036,20,0.2918360233306885
0.034,20,0.3260769844055176
0.032,20,0.292072057723999
0.03,20,0.29772329330444336
0.028,20,0.32769298553466797
0.026,20,0.2885410785675049
0.024,20,0.29046201705932617
0.022,20,0.3250749111175537
0.02,20,0.29384875297546387
0.018,20,0.29651904106140137
0.016,20,0.32547497749328613
0.014,20,0.30829691886901855
0.012,20,0.2887279987335205
0.01,20,0.31935620307922363
0.008,20,0.30463314056396484
0.006,20,0.28918004035949707
0.004,20,0.32873034477233887
