min_support,partition,elapsed
0.05,27,0.3753178119659424
0.048,27,0.3546578884124756
0.046,27,0.3644599914550781
0.044,27,0.4032127857208252
0.042,27,0.34055113792419434
0.04,27,0.3647348880767822
0.038,27,0.3482329845428467
0.036,27,0.3414027690887451
0.034,27,0.37535619735717773
0.032,27,0.34923791885375977
0.03,27,0.3540050983428955
0.028,27,0.342832088470459
0.026,27,0.3574190139770508
0.024,27,0.386228084564209
0.022,27,0.3508739471435547
0.02,27,0.3361940383911133
0.018,27,0.363004207611084
0.016,27,0.35186004638671875
0.014,27,0.3416619300842285
0.012,27,0.37496185302734375
0.01,27,0.351409912109375
0.008,27,0.3656330108642578
0.006,27,0.34081196784973145
0.004,27,0.3524460792541504
