min_support,partition,elapsed
0.05,22,0.31917905807495117
0.048,22,0.34654784202575684
0.046,22,0.31490421295166016
0.044,22,0.3875131607055664
0.042,22,0.311859130859375
0.04,22,0.3123040199279785
0.038,22,0.3441739082336426
0.036,22,0.3082590103149414
0.034,22,0.3318161964416504
0.032,22,0.30141210556030273
0.03,22,0.3119790554046631
0.028,22,0.34098196029663086
0.026,22,0.3137660026550293
0.024,22,0.32424092292785645
0.022,22,0.32490110397338867
0.02,22,0.3194279670715332
0.018,22,0.3359532356262207
0.016,22,0.31243419647216797
0.014,22,0.3113737106323242
0.012,22,0.34584593772888184
0.01,22,0.31508517265319824
0.008,22,0.33792996406555176
0.006,22,0.3146669864654541
0.004,22,0.31323909759521484
