min_support,partition,elapsed
0.05,22,1.5429680347442627
0.048,22,1.536802053451538
0.046,22,1.522540807723999
0.044,22,1.4741721153259277
0.042,22,1.544754981994629
0.04,22,1.4931139945983887
0.038,22,1.5686969757080078
0.036,22,1.5689799785614014
0.034,22,1.5652003288269043
0.032,22,1.5021100044250488
0.03,22,1.6131319999694824
0.028,22,1.6765110492706299
0.026,22,1.6020762920379639
0.024,22,1.6547811031341553
0.022,22,1.7292931079864502
0.02,22,1.7435920238494873
0.018,22,1.7415339946746826
0.016,22,1.7287700176239014
0.014,22,1.7220420837402344
0.012,22,1.7369537353515625
0.01,22,1.6915090084075928
0.008,22,1.749526023864746
0.006,22,1.7845890522003174
0.004,22,2.0976758003234863
