min_support,partition,elapsed
0.05,10,1.3881328105926514
0.048,10,1.3997328281402588
0.046,10,1.4405691623687744
0.044,10,1.4539039134979248
0.042,10,1.3800878524780273
0.04,10,1.401282787322998
0.038,10,1.369476079940796
0.036,10,1.477855920791626
0.034,10,1.4115960597991943
0.032,10,1.4438118934631348
0.03,10,1.5515379905700684
0.028,10,1.5642991065979004
0.026,10,1.5031580924987793
0.024,10,1.4924442768096924
0.022,10,1.4843778610229492
0.02,10,1.5398399829864502
0.018,10,1.4534509181976318
0.016,10,1.506976842880249
0.014,10,1.4534809589385986
0.012,10,1.5481529235839844
0.01,10,1.580260992050171
0.008,10,1.6947600841522217
0.006,10,1.7900550365447998
0.004,10,2.014511823654175
