min_support,partition,elapsed
0.05,13,0.24966979026794434
0.048,13,0.25734496116638184
0.046,13,0.23720026016235352
0.044,13,0.26839399337768555
0.042,13,0.2480931282043457
0.04,13,0.25359582901000977
0.038,13,0.24173212051391602
0.036,13,0.24512505531311035
0.034,13,0.26038670539855957
0.032,13,0.24573111534118652
0.03,13,0.23938989639282227
0.028,13,0.2611420154571533
0.026,13,0.2404308319091797
0.024,13,0.24204325675964355
0.022,13,0.233384370803833
0.02,13,0.23368597030639648
0.018,13,0.26053714752197266
0.016,13,0.23983001708984375
0.014,13,0.24195098876953125
0.012,13,0.241318941116333
0.01,13,0.24820923805236816
0.008,13,0.24693727493286133
0.006,13,0.23492193222045898
0.004,13,0.24103212356567383
