min_support,partition,elapsed
0.05,13,1.4124488830566406
0.048,13,1.453111171722412
0.046,13,1.438046932220459
0.044,13,1.4559109210968018
0.042,13,1.4683856964111328
0.04,13,1.4615161418914795
0.038,13,1.4722208976745605
0.036,13,1.4865820407867432
0.034,13,1.4946868419647217
0.032,13,1.473456859588623
0.03,13,1.4635868072509766
0.028,13,1.5554957389831543
0.026,13,1.5820989608764648
0.024,13,1.5528666973114014
0.022,13,1.5724899768829346
0.02,13,1.5685319900512695
0.018,13,1.586709976196289
0.016,13,1.627366065979004
0.014,13,1.5485830307006836
0.012,13,1.5892138481140137
0.01,13,1.6158032417297363
0.008,13,1.6716728210449219
0.006,13,1.6871819496154785
0.004,13,1.962080955505371
