min_support,partition,elapsed
0.05,30,1.820693016052246
0.048,30,1.7345781326293945
0.046,30,1.7034947872161865
0.044,30,1.7710480690002441
0.042,30,1.7586760520935059
0.04,30,1.7948217391967773
0.038,30,1.773557186126709
0.036,30,1.7685410976409912
0.034,30,1.7360661029815674
0.032,30,1.7912769317626953
0.03,30,1.8474769592285156
0.028,30,1.841599941253662
0.026,30,1.852431058883667
0.024,30,1.8496060371398926
0.022,30,1.8760452270507812
0.02,30,1.9069812297821045
0.018,30,1.8849689960479736
0.016,30,1.9084758758544922
0.014,30,1.8832249641418457
0.012,30,1.9192121028900146
0.01,30,1.9388411045074463
0.008,30,1.987131118774414
0.006,30,2.04970383644104
0.004,30,2.4170360565185547
