min_support,partition,elapsed
0.05,11,1.4174273014068604
0.048,11,1.3817877769470215
0.046,11,1.378614902496338
0.044,11,1.5039598941802979
0.042,11,1.4514439105987549
0.04,11,1.4518139362335205
0.038,11,1.4310729503631592
0.036,11,1.4048371315002441
0.034,11,1.393181324005127
0.032,11,1.4399001598358154
0.03,11,1.427135944366455
0.028,11,1.4964940547943115
0.026,11,1.4564979076385498
0.024,11,1.5284032821655273
0.022,11,1.5569429397583008
0.02,11,1.5929930210113525
0.018,11,1.5704600811004639
0.016,11,1.5881361961364746
0.014,11,1.5181026458740234
0.012,11,1.4774060249328613
0.01,11,1.5578539371490479
0.008,11,1.5836539268493652
0.006,11,1.6998929977416992
0.004,11,1.9892358779907227
