min_support,partition,elapsed
0.05,11,0.3280680179595947
0.048,11,0.24761199951171875
0.046,11,0.2246100902557373
0.044,11,0.22034287452697754
0.042,11,0.27224183082580566
0.04,11,0.24292612075805664
0.038,11,0.2243480682373047
0.036,11,0.2998018264770508
0.034,11,0.3178560733795166
0.032,11,0.2846407890319824
0.03,11,0.28411316871643066
0.028,11,0.28014612197875977
0.026,11,0.23169279098510742
0.024,11,0.23459362983703613
0.022,11,0.23672008514404297
0.02,11,0.2444148063659668
0.018,11,0.24997472763061523
0.016,11,0.22337794303894043
0.014,11,0.2285618782043457
0.012,11,0.23463988304138184
0.01,11,0.24135088920593262
0.008,11,0.24629902839660645
0.006,11,0.22248411178588867
0.004,11,0.24550890922546387
