min_support,partition,elapsed
0.05,25,1.7509660720825195
0.048,25,1.7895970344543457
0.046,25,1.7612779140472412
0.044,25,1.7477431297302246
0.042,25,1.7312960624694824
0.04,25,1.8006489276885986
0.038,25,1.7764170169830322
0.036,25,1.7627358436584473
0.034,25,1.7612781524658203
0.032,25,1.7406730651855469
0.03,25,1.7899110317230225
0.028,25,1.84639310836792
0.026,25,1.7939691543579102
0.024,25,1.8235719203948975
0.022,25,1.8201689720153809
0.02,25,1.7701780796051025
0.018,25,1.7945258617401123
0.016,25,1.813288927078247
0.014,25,1.8163340091705322
0.012,25,1.8573529720306396
0.01,25,1.8770763874053955
0.008,25,1.9926178455352783
0.006,25,2.014676094055176
0.004,25,2.4072182178497314
