min_support,partition,elapsed
0.05,28,1.795551061630249
0.048,28,1.7787020206451416
0.046,28,1.7237560749053955
0.044,28,1.7355809211730957
0.042,28,1.7276170253753662
0.04,28,1.7244420051574707
0.038,28,1.7151906490325928
0.036,28,1.710824966430664
0.034,28,1.6757769584655762
0.032,28,1.7471821308135986
0.03,28,1.7386391162872314
0.028,28,1.7534821033477783
0.026,28,1.7544639110565186
0.024,28,1.77256178855896
0.022,28,1.7299180030822754
0.02,28,1.822052001953125
0.018,28,1.7837340831756592
0.016,28,1.8317210674285889
0.014,28,1.8189568519592285
0.012,28,1.9005460739135742
0.01,28,1.845566987991333
0.008,28,1.9355640411376953
0.006,28,1.9803578853607178
0.004,28,2.372126817703247
