min_support,partition,elapsed
0.05,28,0.39385509490966797
0.048,28,0.3696560859680176
0.046,28,0.4796578884124756
0.044,28,0.35512661933898926
0.042,28,0.3456130027770996
0.04,28,0.3748950958251953
0.038,28,0.3549540042877197
0.036,28,0.3652968406677246
0.034,28,0.35643696784973145
0.032,28,0.34683799743652344
0.03,28,0.378403902053833
0.028,28,0.3488609790802002
0.026,28,0.35054588317871094
0.024,28,0.3993830680847168
0.022,28,0.35648012161254883
0.02,28,0.36772799491882324
0.018,28,0.3538820743560791
0.016,28,0.35172486305236816
0.014,28,0.3906838893890381
0.012,28,0.36018800735473633
0.01,28,0.3359391689300537
0.008,28,0.38967132568359375
0.006,28,0.3430137634277344
0.004,28,0.37795090675354004
