min_support,partition,elapsed
0.05,7,1.4261901378631592
0.048,7,1.3415541648864746
0.046,7,1.3427050113677979
0.044,7,1.3830280303955078
0.042,7,1.4204349517822266
0.04,7,1.3626770973205566
0.038,7,1.3860583305358887
0.036,7,1.3911590576171875
0.034,7,1.460618019104004
0.032,7,1.4340980052947998
0.03,7,1.387206792831421
0.028,7,1.4401028156280518
0.026,7,1.3683838844299316
0.024,7,1.390489101409912
0.022,7,1.4631197452545166
0.02,7,1.4669849872589111
0.018,7,1.4047110080718994
0.016,7,1.474437952041626
0.014,7,1.4623186588287354
0.012,7,1.5219838619232178
0.01,7,1.4486069679260254
0.008,7,1.6078028678894043
0.006,7,1.5928459167480469
0.004,7,1.8367648124694824
