min_support,partition,elapsed
0.05,21,0.31202220916748047
0.048,21,0.3113420009613037
0.046,21,0.34122419357299805
0.044,21,0.35597705841064453
0.042,21,0.30153608322143555
0.04,21,0.34276604652404785
0.038,21,0.3049778938293457
0.036,21,0.29521799087524414
0.034,21,0.32196903228759766
0.032,21,0.2961232662200928
0.03,21,0.2938549518585205
0.028,21,0.3347189426422119
0.026,21,0.29747986793518066
0.024,21,0.30995702743530273
0.022,21,0.3163421154022217
0.02,21,0.2994120121002197
0.018,21,0.3140099048614502
0.016,21,0.30935215950012207
0.014,21,0.30223989486694336
0.012,21,0.31153011322021484
0.01,21,0.3102271556854248
0.008,21,0.3016231060028076
0.006,21,0.33646607398986816
0.004,21,0.29718828201293945
