min_support,partition,elapsed
0.05,21,1.5757203102111816
0.048,21,1.5413379669189453
0.046,21,1.4921510219573975
0.044,21,1.5384528636932373
0.042,21,1.488832950592041
0.04,21,1.549889087677002
0.038,21,1.548293113708496
0.036,21,1.5182228088378906
0.034,21,1.5412259101867676
0.032,21,1.556365728378296
0.03,21,1.5578007698059082
0.028,21,1.6181550025939941
0.026,21,1.625089168548584
0.024,21,1.633620023727417
0.022,21,1.668492078781128
0.02,21,1.6266191005706787
0.018,21,1.6419408321380615
0.016,21,1.6050810813903809
0.014,21,1.6399269104003906
0.012,21,1.666121244430542
0.01,21,1.690100908279419
0.008,21,1.754729986190796
0.006,21,1.8743762969970703
0.004,21,2.21055006980896
