min_support,partition,elapsed
0.05,19,0.30857396125793457
0.048,19,0.3136610984802246
0.046,19,0.2884082794189453
0.044,19,0.3058967590332031
0.042,19,0.3201448917388916
0.04,19,0.29256200790405273
0.038,19,0.2679178714752197
0.036,19,0.309478759765625
0.034,19,0.28409910202026367
0.032,19,0.27629804611206055
0.03,19,0.31694602966308594
0.028,19,0.2859518527984619
0.026,19,0.28815579414367676
0.024,19,0.31641483306884766
0.022,19,0.2755448818206787
0.02,19,0.29488205909729004
0.018,19,0.3060741424560547
0.016,19,0.29405713081359863
0.014,19,0.2824869155883789
0.012,19,0.2737300395965576
0.01,19,0.30780863761901855
0.008,19,0.28199291229248047
0.006,19,0.29237818717956543
0.004,19,0.30602216720581055
