min_support,partition,elapsed
0.05,5,1.4425232410430908
0.048,5,1.470893144607544
0.046,5,1.4036331176757812
0.044,5,1.472024917602539
0.042,5,1.4436101913452148
0.04,5,1.444511890411377
0.038,5,1.397472620010376
0.036,5,1.4638450145721436
0.034,5,1.454843282699585
0.032,5,1.4609301090240479
0.03,5,1.5034990310668945
0.028,5,1.4564132690429688
0.026,5,1.5035109519958496
0.024,5,1.5139939785003662
0.022,5,1.5157582759857178
0.02,5,1.5170090198516846
0.018,5,1.555584192276001
0.016,5,1.5781991481781006
0.014,5,1.4980652332305908
0.012,5,1.5764808654785156
0.01,5,1.6084210872650146
0.008,5,1.6112780570983887
0.006,5,1.7288269996643066
0.004,5,2.014478921890259
