min_support,partition,elapsed
0.05,24,1.7229759693145752
0.048,24,1.6658070087432861
0.046,24,1.6338188648223877
0.044,24,1.637160062789917
0.042,24,1.670875072479248
0.04,24,1.7140700817108154
0.038,24,1.7162261009216309
0.036,24,1.680523157119751
0.034,24,1.7003252506256104
0.032,24,1.6678261756896973
0.03,24,1.7513830661773682
0.028,24,1.7500600814819336
0.026,24,1.826805830001831
0.024,24,1.8427371978759766
0.022,24,1.840022087097168
0.02,24,1.916489839553833
0.018,24,1.9069850444793701
0.016,24,1.9367389678955078
0.014,24,1.9007527828216553
0.012,24,2.037051200866699
0.01,24,1.898313045501709
0.008,24,1.9802157878875732
0.006,24,2.053194999694824
0.004,24,2.4635419845581055
