min_support,partition,elapsed
0.05,29,1.7606048583984375
0.048,29,1.7027289867401123
0.046,29,1.7195279598236084
0.044,29,1.708204746246338
0.042,29,1.7439749240875244
0.04,29,1.777508020401001
0.038,29,1.763253927230835
0.036,29,1.7284939289093018
0.034,29,1.7553739547729492
0.032,29,1.8420989513397217
0.03,29,1.8150711059570312
0.028,29,1.8724989891052246
0.026,29,1.8571689128875732
0.024,29,1.9153060913085938
0.022,29,1.8630788326263428
0.02,29,1.8367118835449219
0.018,29,1.8786470890045166
0.016,29,1.8727481365203857
0.014,29,1.8745920658111572
0.012,29,1.939389944076538
0.01,29,1.960698127746582
0.008,29,2.108110189437866
0.006,29,2.1301770210266113
0.004,29,2.4256319999694824
