min_support,partition,elapsed
0.05,4,0.18245482444763184
0.048,4,0.19761085510253906
0.046,4,0.18613028526306152
0.044,4,0.1830599308013916
0.042,4,0.1867828369140625
0.04,4,0.17634916305541992
0.038,4,0.1814289093017578
0.036,4,0.18857598304748535
0.034,4,0.18499517440795898
0.032,4,0.17217278480529785
0.03,4,0.17731094360351562
0.028,4,0.18216800689697266
0.026,4,0.1887519359588623
0.024,4,0.17929601669311523
0.022,4,0.17546582221984863
0.02,4,0.17934393882751465
0.018,4,0.17239022254943848
0.016,4,0.18044424057006836
0.014,4,0.17760825157165527
0.012,4,0.17890501022338867
0.01,4,0.17178082466125488
0.008,4,0.17838788032531738
0.006,4,0.17440319061279297
0.004,4,0.19250798225402832
