min_support,partition,elapsed
0.05,4,1.4925472736358643
0.048,4,1.4644339084625244
0.046,4,1.5267620086669922
0.044,4,1.4486229419708252
0.042,4,1.5141949653625488
0.04,4,1.5533769130706787
0.038,4,1.5188500881195068
0.036,4,1.4980878829956055
0.034,4,1.5388259887695312
0.032,4,1.5579359531402588
0.03,4,1.566965103149414
0.028,4,1.6588258743286133
0.026,4,1.6397607326507568
0.024,4,1.6290748119354248
0.022,4,1.6149158477783203
0.02,4,1.6001789569854736
0.018,4,1.598466157913208
0.016,4,1.6001219749450684
0.014,4,1.6176679134368896
0.012,4,1.6251449584960938
0.01,4,1.6767659187316895
0.008,4,1.7245349884033203
0.006,4,1.8376929759979248
0.004,4,2.0974600315093994
