min_support,partition,elapsed
0.05,9,1.466498851776123
0.048,9,1.4426770210266113
0.046,9,1.3960611820220947
0.044,9,1.40321683883667
0.042,9,1.4377720355987549
0.04,9,1.391124963760376
0.038,9,1.367661714553833
0.036,9,1.4289698600769043
0.034,9,1.4456491470336914
0.032,9,1.4469430446624756
0.03,9,1.4272277355194092
0.028,9,1.4551141262054443
0.026,9,1.5026891231536865
0.024,9,1.5137028694152832
0.022,9,1.5167512893676758
0.02,9,1.5641090869903564
0.018,9,1.5451736450195312
0.016,9,1.5415151119232178
0.014,9,1.5152819156646729
0.012,9,1.552807092666626
0.01,9,1.5045640468597412
0.008,9,1.6921100616455078
0.006,9,1.7163629531860352
0.004,9,2.0514910221099854
