min_support,elapsed
0.05,0.14777183532714844
0.048,0.1328279972076416
0.046,0.13086891174316406
0.044,0.13172507286071777
0.042,0.13819599151611328
0.04,0.1444721221923828
0.038,0.15186595916748047
0.036,0.1700139045715332
0.034,0.1813218593597412
0.032,0.19111895561218262
0.03,0.2302381992340088
0.028,0.27848196029663086
0.026,0.42092323303222656
0.024,0.4713172912597656
0.022,0.5521218776702881
0.02,0.6904420852661133
0.018,0.7982656955718994
0.016,1.035926103591919
0.014,1.362476110458374
0.012,1.752197265625
0.01,2.05495285987854
0.008,2.477412700653076
0.006,2.9486658573150635
0.004,3.7273638248443604
