min_support,elapsed
0.05,1.9430432319641113
0.048,1.7999799251556396
0.046,1.7885630130767822
0.044,1.8156771659851074
0.042,2.0698838233947754
0.04,1.8718929290771484
0.038,1.9311017990112305
0.036,1.930068016052246
0.034,1.965083122253418
0.032,2.02649188041687
0.03,2.105462074279785
0.028,2.571300983428955
0.026,2.3296878337860107
0.024,2.3832688331604004
0.022,2.5423219203948975
0.02,2.852057695388794
0.018,3.05155086517334
0.016,3.4946982860565186
0.014,3.5410449504852295
0.012,4.170933961868286
0.01,4.755563020706177
0.008,5.798366069793701
0.006,9.078520774841309
0.004,16.091089010238647
