min_support,partition,elapsed
0.05,18,0.3096647262573242
0.048,18,0.27675604820251465
0.046,18,0.28266286849975586
0.044,18,0.32381296157836914
0.042,18,0.3171241283416748
0.04,18,0.27339816093444824
0.038,18,0.2715797424316406
0.036,18,0.3266439437866211
0.034,18,0.2667222023010254
0.032,18,0.27817511558532715
0.03,18,0.288557767868042
0.028,18,0.30032896995544434
0.026,18,0.27268505096435547
0.024,18,0.27654290199279785
0.022,18,0.32094383239746094
0.02,18,0.27260589599609375
0.018,18,0.28078222274780273
0.016,18,0.2906060218811035
0.014,18,0.31429576873779297
0.012,18,0.2749931812286377
0.01,18,0.28151512145996094
0.008,18,0.31349825859069824
0.006,18,0.2700929641723633
0.004,18,0.2902369499206543
