min_support,partition,elapsed
0.05,18,1.5392510890960693
0.048,18,1.5690908432006836
0.046,18,1.5464060306549072
0.044,18,1.5836541652679443
0.042,18,1.5642528533935547
0.04,18,1.5682258605957031
0.038,18,1.5794107913970947
0.036,18,1.5729541778564453
0.034,18,1.6281399726867676
0.032,18,1.6377098560333252
0.03,18,1.6651151180267334
0.028,18,1.6848289966583252
0.026,18,1.643784999847412
0.024,18,1.6151509284973145
0.022,18,1.6395437717437744
0.02,18,1.612069845199585
0.018,18,1.6592459678649902
0.016,18,1.6804909706115723
0.014,18,1.668684959411621
0.012,18,1.6994380950927734
0.01,18,1.7827749252319336
0.008,18,1.8623709678649902
0.006,18,1.8822898864746094
0.004,18,2.2359659671783447
